ticker,event_ticker,result,volume_fp,liquidity_dollars,close_time,previous_yes_ask_dollars
KXMLBGAME-26SEP051840MILCIN-MIL,KXMLBGAME-26SEP051840MILCIN,no,2001815.48,0.0000,2026-09-06T03:54:26Z,1.0000
KXMLBGAME-26SEP051840MILCIN-CIN,KXMLBGAME-26SEP051840MILCIN,yes,859534.00,0.0000,2026-09-06T03:54:26Z,1.0000
KXMLBGAME-26SEP051840LAAPIT-PIT,KXMLBGAME-26SEP051840LAAPIT,no,976809.38,0.0000,2026-09-06T01:24:30Z,1.0000
KXMLBGAME-26SEP051840LAAPIT-LAA,KXMLBGAME-26SEP051840LAAPIT,yes,351118.26,0.0000,2026-09-06T01:24:30Z,1.0000
KXMLBGAME-26SEP051805ATLPHI-PHI,KXMLBGAME-26SEP051805ATLPHI,yes,801326.47,0.0000,2026-09-06T00:34:34Z,1.0000
KXMLBGAME-26SEP051805ATLPHI-ATL,KXMLBGAME-26SEP051805ATLPHI,no,1681875.50,0.0000,2026-09-06T00:34:34Z,1.0000
KXMLBGAME-26SEP051810DETCLE-DET,KXMLBGAME-26SEP051810DETCLE,yes,543006.70,0.0000,2026-09-06T00:39:45Z,1.0000
KXMLBGAME-26SEP051810DETCLE-CLE,KXMLBGAME-26SEP051810DETCLE,no,988926.86,0.0000,2026-09-06T00:39:45Z,1.0000
KXMLBGAME-26SEP051610SFNYM-SF,KXMLBGAME-26SEP051610SFNYM,yes,774369.53,0.0000,2026-09-05T22:49:40Z,1.0000
KXMLBGAME-26SEP051610SFNYM-NYM,KXMLBGAME-26SEP051610SFNYM,no,1247246.65,0.0000,2026-09-05T22:49:40Z,1.0000
KXMLBGAME-26SEP051610CHCMIA-MIA,KXMLBGAME-26SEP051610CHCMIA,no,1892740.80,0.0000,2026-09-05T23:39:42Z,1.0000
KXMLBGAME-26SEP051610CHCMIA-CHC,KXMLBGAME-26SEP051610CHCMIA,yes,1857847.45,0.0000,2026-09-05T23:39:42Z,1.0000
KXMLBGAME-26SEP042210WSHLAD-WSH,KXMLBGAME-26SEP042210WSHLAD,no,2615385.61,0.0000,2026-09-05T04:54:25Z,1.0000
KXMLBGAME-26SEP042210WSHLAD-LAD,KXMLBGAME-26SEP042210WSHLAD,yes,1702006.83,0.0000,2026-09-05T04:54:25Z,1.0000
KXMLBGAME-26SEP042210ATHSEA-SEA,KXMLBGAME-26SEP042210ATHSEA,no,3338819.99,0.0000,2026-09-05T05:09:38Z,1.0000
KXMLBGAME-26SEP042210ATHSEA-ATH,KXMLBGAME-26SEP042210ATHSEA,yes,2087070.88,0.0000,2026-09-05T05:09:38Z,1.0000
KXMLBGAME-26SEP042140NYYSD-SD,KXMLBGAME-26SEP042140NYYSD,yes,3075880.25,0.0000,2026-09-05T04:19:35Z,1.0000
KXMLBGAME-26SEP042140NYYSD-NYY,KXMLBGAME-26SEP042140NYYSD,no,4333471.79,0.0000,2026-09-05T04:19:35Z,1.0000
KXMLBGAME-26SEP042040STLCOL-STL,KXMLBGAME-26SEP042040STLCOL,yes,1999677.39,0.0000,2026-09-05T03:34:28Z,1.0000
KXMLBGAME-26SEP042040STLCOL-COL,KXMLBGAME-26SEP042040STLCOL,no,1251696.51,0.0000,2026-09-05T03:34:28Z,1.0000
KXMLBGAME-26SEP042005TBTEX-TEX,KXMLBGAME-26SEP042005TBTEX,no,2081170.75,0.0000,2026-09-05T03:14:32Z,1.0000
KXMLBGAME-26SEP042005TBTEX-TB,KXMLBGAME-26SEP042005TBTEX,yes,1913271.84,0.0000,2026-09-05T03:14:32Z,1.0000
KXMLBGAME-26SEP042010AZHOU-HOU,KXMLBGAME-26SEP042010AZHOU,yes,551026.71,0.0000,2026-09-05T02:49:36Z,1.0000
KXMLBGAME-26SEP042010AZHOU-AZ,KXMLBGAME-26SEP042010AZHOU,no,902139.23,0.0000,2026-09-05T02:49:36Z,1.0000
KXMLBGAME-26SEP042010TORKC-TOR,KXMLBGAME-26SEP042010TORKC,yes,465855.35,0.0000,2026-09-05T02:39:41Z,1.0000
KXMLBGAME-26SEP042010TORKC-KC,KXMLBGAME-26SEP042010TORKC,no,276087.60,0.0000,2026-09-05T02:39:41Z,1.0000
KXMLBGAME-26SEP041940MINCWS-MIN,KXMLBGAME-26SEP041940MINCWS,no,499026.03,0.0000,2026-09-05T02:04:33Z,1.0000
KXMLBGAME-26SEP041940MINCWS-CWS,KXMLBGAME-26SEP041940MINCWS,yes,312204.48,0.0000,2026-09-05T02:04:33Z,1.0000
KXMLBGAME-26SEP041915DETCLEG2-DET,KXMLBGAME-26SEP041915DETCLEG2,no,895893.85,0.0000,2026-09-05T02:44:32Z,1.0000
KXMLBGAME-26SEP041915DETCLEG2-CLE,KXMLBGAME-26SEP041915DETCLEG2,yes,1022429.36,0.0000,2026-09-05T02:44:32Z,1.0000
KXMLBGAME-26SEP041910CHCMIA-MIA,KXMLBGAME-26SEP041910CHCMIA,no,782432.30,0.0000,2026-09-05T02:09:41Z,1.0000
KXMLBGAME-26SEP041910CHCMIA-CHC,KXMLBGAME-26SEP041910CHCMIA,yes,770476.97,0.0000,2026-09-05T02:09:41Z,1.0000
KXMLBGAME-26SEP041905BOSBAL-BOS,KXMLBGAME-26SEP041905BOSBAL,yes,643719.45,0.0000,2026-09-05T01:44:37Z,1.0000
